lam_nm,A_active
4.673306772908367179e+02,9.162147756737186732e-01
4.653341470857491231e+02,9.144450861844546363e-01
4.633546034639927598e+02,9.128087157167202870e-01
4.613918305597579774e+02,9.114108808625741576e-01
4.594456161494426283e+02,9.100629055069481277e-01
4.575157515751575374e+02,9.085306458796090778e-01
4.556020316701523711e+02,9.068417947307553240e-01
4.537042546861054007e+02,9.052624426183053519e-01
4.518222222222221944e+02,9.039712958662037279e-01
4.499557391560932160e+02,9.028433105947373249e-01
4.481046135762562699e+02,9.016173397548380430e-01
4.462686567164179792e+02,9.002368859047260585e-01
4.444476828912853534e+02,8.989329489250885707e-01
4.426415094339622556e+02,8.979427778009659855e-01
4.408499566348656344e+02,8.972188093758639571e-01
4.390728476821192316e+02,8.964960204963418056e-01
4.373100086033840057e+02,8.956340304444511125e-01
4.355612682090831527e+02,8.948022561167511268e-01
4.338264580369843202e+02,8.942727130513643541e-01
4.321054122981014416e+02,8.940798841465583680e-01
4.303979678238781048e+02,8.939764703880480612e-01
4.287039640146190891e+02,8.937422710620692712e-01
4.270232427891346561e+02,8.934575666994026832e-01
4.253556485355649102e+02,8.933948161188881576e-01
4.237010280633509751e+02,8.936622883773305270e-01
4.220592305563243940e+02,8.940474151675767978e-01
4.204301075268817272e+02,8.942589165837711018e-01
4.188135127712167218e+02,8.942654382865952156e-01
4.172093023255814614e+02,8.943049484947669381e-01
4.156173344235486411e+02,8.945514664526474924e-01
4.140374694542492762e+02,8.948578551098188560e-01
4.124695699215580476e+02,8.949012598991517020e-01
4.109135004042037167e+02,8.945536268648321965e-01
4.093691275167785193e+02,8.940149881890513406e-01
4.078363198716234592e+02,8.935415337602243824e-01
4.063149480415667085e+02,8.931080570214379177e-01
4.048048845234934561e+02,8.924289299820883370e-01
4.033060037027241833e+02,8.913140663824747900e-01
4.018181818181818130e+02,8.899146870654427444e-01
4.003412969283276652e+02,8.885476738567897881e-01
3.988752288778446768e+02,8.873131180218405412e-01
3.974198592650507749e+02,8.859808872649764799e-01
3.959750714100233608e+02,8.842890577682155362e-01
3.945407503234152955e+02,8.822824557601585127e-01
3.931167826759474337e+02,8.802664940637959790e-01
3.917030567685588949e+02,8.784300268403778533e-01
3.902994625031993792e+02,8.766062282357485191e-01
3.889058913542463642e+02,8.744722857123643500e-01
3.875222363405336523e+02,8.719426519540602882e-01
3.861483919979741586e+02,8.692664965132717025e-01
3.847842543527630710e+02,8.667055323919604648e-01
3.834297208951471703e+02,8.641918419067697865e-01
3.820846905537458724e+02,8.613940315160599770e-01
3.807490636704119993e+02,8.581139309083419819e-01
3.794227419756158497e+02,8.545224845102846745e-01
3.781056285643441583e+02,8.509395560525815361e-01
3.767976278724981398e+02,8.474287707410911308e-01
3.754986456537798745e+02,8.437118587793497326e-01
3.742085889570552126e+02,8.395131349005481303e-01
